name,kcal,carbs,carbs_sugar_part,protein,fat,fat_saturated,fiber
Blumenkohl,25,3,3,2,0.3,0.1,2
Broccoli,28,3,2.5,3,0.4,0,2.6
Chicoree,17,1,0,1,0.1,0,3.1
Erbsen (gefroren),77,9,5,5.2,0.4,0.1,4.5
Gurke,15,3,3,0.6,0.1,0,0.5
Karotte,41,7,7,1,0.2,0,2.8
Kartoffel,58,10,0.4,2.6,0.1,0,2.5
Rande,40,7,7,1.5,0.1,0,2.4
Zwiebel,40,7.6,0,1.1,0.1,0,1.7
Knoblauch,149,31,0,6.3,0.5,0.1,2.1
Chili,40,8,7.6,2,0.2,0,1.5
ertig,80,15.8,15.6,1.8,0.8,0.2,2
Avocado,160,1.8,1.8,2,14.7,2.1,6.7
Bohnen (gefroren),30,3.5,2,2,0.5,0.5,3
Oliven (grün),126,0,0,0.5,13,1.5,2.5
Rosenkohl,43,5.2,4.7,3.4,0.3,0.1,3.8
Kefen (gefroren),58,9,5,4,0,0,3
Süsskartoffel,86,17.1,4.2,1.6,0.1,0,3
Babymais,24,2.5,2.5,2.5,1.2,0,0
Pastinake,75,13.1,4.8,1.2,0.3,0.1,4.9
Rhabarber,21,2.7,2.5,0.9,0.2,0.1,1.8
Spargel (grün),17,1.4,1.4,2.5,0.1,0,2.2
Rucola,18.2,0.2,0.2,3.2,0.5,0.1,2.3
Nüsslisalat,24,2,2,2,0,0,2
Zuckermais,106,18,3,3.5,1.5,0,3
Kale,34,1.4,1.3,3.4,1.6,0.2,3.1
Pak Choi,19,1.9,1.5,1.5,0,0,2
Radiesli,16,1.8,1.8,0.7,0.1,0,1.6
Pimentos,23,5,2.7,1.1,0.3,0,0
Knackerbsen,82,12.3,5.5,6.6,0.5,0,5
Sprossenmix,148,21,2.5,11,0.5,0,7
Himbeeren,52,5.4,5.4,1.2,0.7,0,6.5
Datteln,278,65,65,1.9,0.5,0.1,8.7
Apfel,61,14,13,0.4,0,0,2.4
Birne,57,12,12,0.4,0,0,3.1
Zitrone,29,3.1,3.1,1.1,0.3,0,1.3
Lychees (Dose),82,18,18,0.5,0,0,1.5
Banane,89,20.2,17.5,1.1,0.3,0.1,2.6
Kiwi,61,11.7,11.7,1.1,0.5,0,3
Beerenmischung (gefroren),67,11,11,1,0.5,0,7
Pfirsich,39,8.5,8,0.9,0.3,0,1.5
Aprikose,48,9.5,9.1,1.4,0.4,0,2
Nektarine,44,9.7,8.9,1.1,0.3,0,1.7
Feige,74,16.3,16.3,0.8,0.3,0.1,2.9
Blaubeeren,48,10,10,0.7,0.3,0,2.4
Mango,60,13.4,13.4,0.8,0.3,0.1,1.6
Pflaume,46,12.2,9.9,0.7,0.3,0,1.4
Limette,30,1.9,1.9,0.7,0.2,0,1
Orange,47,9.4,9.4,0.9,0.1,0,2.4
Granatapfel,83,14.7,14.7,1.7,1.2,0.1,4
Erdbeeren,32,5.7,5.7,0.7,0.3,0,2
Grapefruit,32,7,7,0.6,0.1,0,1.1
Wassermelone,30,7.2,7.2,0.6,0.2,0,0.4
Grapefruitsaft,48,11.1,11.1,0.3,0.1,0,0
Kirschen,50,12,8,1,0.3,0.1,1.6
Mandeln,575,9.5,3.9,21.2,49.4,3.7,12.2
Baumnüsse,684,11,7,17,63,7,0
Walnusskerne,687,7,2.5,15,65,7,7
Pinienkerne,610,3,3,36,50,10,5
